Time,Cell,F,lickpoint,licking,bitepoint
161.2709844,C06,0.6309197,0,0,0
161.3709045,C06,-1.580192,0,0,0
161.4708246,C06,1.643489,0,0,0
161.5707446,C06,2.072482,0,0,0
161.6706647,C06,1.59659,0,0,0
161.7705848,C06,2.365854,0,0,0
161.8705048,C06,0.8373056,0,0,0
161.9704249,C06,0.2148621,0,0,0
162.070345,C06,1.042639,0,0,0
162.170265,C06,3.3217,0,0,0
162.2701851,C06,2.736548,0,0,0
162.3701052,C06,1.832696,0,0,0
162.4700252,C06,1.972537,0,0,0
162.5699453,C06,1.868235,0,0,0
162.6698654,C06,1.532461,0,0,0
162.7697854,C06,1.886065,0,0,0
162.8697055,C06,1.814859,0,0,0
162.9696255,C06,1.295171,0,0,0
163.0695456,C06,1.781258,0,0,0
163.1694657,C06,2.296592,0,0,0
163.2693857,C06,-0.4336958,0,0,0
163.3693058,C06,1.517445,0,0,0
163.4692259,C06,0.2759506,0,0,0
