Time,Cell,F,bite,bitepoint,lick,lickpoint,licking
8.493226924951268,C2,3.35731,0,0,0,0,1.0
8.5931472417154,C2,1.644267,0,0,0,0,1.0
8.693067558479532,C2,1.560348,0,0,0,0,1.0
8.792987875243664,C2,3.294016,0,0,0,0,1.0
8.892908192007797,C2,2.743996,0,0,0,0,1.0
8.99282850877193,C2,2.843132,0,0,0,0,1.0
9.092748825536065,C2,2.446123,0,0,0,0,1.0
9.192669142300195,C2,2.930329,0,0,0,0,1.0
9.292589459064327,C2,4.607053,0,0,0,0,1.0
9.39250977582846,C2,1.553686,0,0,0,0,1.0
9.492430092592592,C2,3.600286,0,0,0,0,1.0
9.592350409356726,C2,2.731247,0,0,0,0,1.0
9.692270726120858,C2,4.191865,0,0,0,0,1.0
9.792191042884992,C2,2.73236,0,0,0,0,1.0
9.892111359649125,C2,1.445012,0,0,0,0,1.0
9.992031676413257,C2,0.09954382,0,0,0,0,1.0
10.09195199317739,C2,1.580714,0,0,0,0,1.0
10.19187230994152,C2,3.235005,0,0,0,0,1.0
10.29179262670565,C2,2.608753,0,0,0,0,1.0
10.39171294346979,C2,2.61927,0,0,0,0,1.0
10.49163326023392,C2,3.436396,0,0,0,0,1.0
10.59155357699805,C2,1.208846,0,0,0,0,1.0
10.69147389376218,C2,1.237367,0,0,0,0,1.0
10.79139421052631,C2,2.12077,0,0,0,0,1.0
10.89131452729045,C2,3.894748,0,0,0,0,1.0
10.99123484405458,C2,0.9787064,0,0,0,0,1.0
11.09115516081871,C2,1.584405,0,0,0,0,1.0
11.19107547758285,C2,1.948725,0,0,0,0,1.0
11.29099579434698,C2,2.192592,0,0,0,0,1.0
11.39091611111111,C2,2.171528,0,0,0,0,1.0
11.49083642787524,C2,2.833625,0,0,0,0,1.0
11.59075674463938,C2,3.487383,0,0,0,0,1.0
11.69067706140351,C2,2.712634,0,0,0,0,1.0
11.79059737816764,C2,1.071829,0,0,0,0,1.0
11.89051769493177,C2,1.874351,0,0,0,0,1.0
11.99043801169591,C2,4.385499,0,0,0,0,1.0
12.09035832846004,C2,5.447814,0,0,0,0,1.0
12.19027864522417,C2,4.827907,0,0,0,0,1.0
12.2901989619883,C2,5.783259,0,0,0,0,1.0
12.39011927875244,C2,1.13218,0,0,0,0,1.0
12.49003959551657,C2,0.05418088,0,0,0,0,0.0
12.5899599122807,C2,-0.960901,0,0,0,0,0.0
12.68988022904484,C2,4.667279,0,0,0,0,0.0
12.78980054580897,C2,5.359619,0,0,0,0,0.0
12.8897208625731,C2,6.279986,0,0,0,0,0.0
12.98964117933723,C2,7.472427,0,0,0,0,0.0
13.08956149610136,C2,6.223691,0,0,0,0,0.0
13.1894818128655,C2,5.090591,0,0,0,0,0.0
13.28940212962963,C2,5.438938,0,0,0,0,0.0
13.38932244639376,C2,4.884969,0,0,0,0,0.0
13.4892427631579,C2,4.35899,0,0,0,0,0.0
13.58916307992203,C2,6.492105,0,0,0,0,0.0
13.68908339668616,C2,8.191031,0,0,0,0,0.0
13.78900371345029,C2,7.113488,0,0,0,0,0.0
13.88892403021442,C2,7.37077,0,0,0,0,0.0
13.98884434697856,C2,5.810919,0,0,0,0,0.0
14.08876466374269,C2,6.176102,0,0,0,0,0.0
14.18868498050682,C2,4.775734,0,0,0,0,0.0
14.28860529727095,C2,2.725518,0,0,0,0,0.0
14.38852561403509,C2,5.151061,0,0,0,0,0.0
14.48844593079922,C2,7.092677,0,0,0,0,0.0
14.58836624756335,C2,6.880583,0,0,0,0,0.0
14.68828656432749,C2,4.801311,0,0,0,0,0.0
14.78820688109162,C2,1.894362,0,0,0,0,0.0
14.88812719785575,C2,4.507161,0,0,0,0,0.0
14.98804751461988,C2,5.075198,0,0,0,0,0.0
15.08796783138401,C2,3.795573,0,0,0,0,0.0
15.18788814814815,C2,4.72772,0,0,0,0,0.0
15.28780846491228,C2,1.924918,0,0,0,1,1.0
15.38772878167641,C2,2.919447,0,0,0,0,1.0
15.48764909844055,C2,4.429814,0,0,0,0,1.0
15.58756941520468,C2,3.998199,0,0,0,0,1.0
15.68748973196881,C2,4.786693,0,0,0,0,1.0
15.78741004873294,C2,3.753818,0,0,0,0,1.0
15.88733036549708,C2,2.777849,0,0,0,0,1.0
15.98725068226121,C2,3.176134,0,0,0,0,1.0
16.08717099902534,C2,2.271202,0,0,0,0,1.0
16.18709131578947,C2,2.528336,0,0,0,0,1.0
16.28701163255361,C2,3.728694,0,0,0,0,1.0
16.38693194931774,C2,3.916875,0,0,0,0,1.0
16.48685226608187,C2,2.955182,0,0,0,0,1.0
16.586772582846,C2,2.278608,0,0,0,0,1.0
16.68669289961014,C2,2.931756,0,0,0,0,1.0
16.78661321637427,C2,3.772306,0,0,0,0,1.0
16.8865335331384,C2,3.440453,0,0,0,0,1.0
16.98645384990254,C2,3.465802,0,0,0,0,1.0
17.08637416666667,C2,4.347538,0,0,0,0,1.0
17.1862944834308,C2,3.667679,0,0,0,0,1.0
17.28621480019493,C2,3.486742,0,0,0,0,1.0
17.38613511695906,C2,2.633635,0,0,0,0,1.0
17.4860554337232,C2,3.149049,0,0,0,0,1.0
17.58597575048733,C2,3.997277,0,0,0,0,1.0
17.68589606725146,C2,3.774175,0,0,0,0,1.0
17.78581638401559,C2,2.416574,0,0,0,0,1.0
17.88573670077973,C2,3.879986,0,0,0,0,1.0
17.98565701754386,C2,4.860897,0,0,0,0,1.0
