Time,Cell,F,bite,bitepoint,biting,lickpoint
78.03759576,C26,3.142553,0,0,0,0
78.13751586,C26,5.229848,0,0,0,0
78.23743595,C26,3.166301,0,0,0,0
78.33735605,C26,5.233355,0,0,0,0
78.43727615,C26,3.810496,0,0,0,0
78.53719624,C26,4.032585,0,0,0,0
78.63711634,C26,1.922572,0,0,0,0
78.73703644,C26,8.564049,0,0,0,0
78.83695654,C26,7.116723,0,0,0,0
78.93687663,C26,6.564978,0,0,0,0
79.03679673,C26,7.080457,0,0,0,0
79.13671683,C26,6.923294,0,0,0,0
79.23663692,C26,8.147223,0,0,0,0
79.33655702,C26,4.79242,0,0,0,0
79.43647712,C26,5.834944,0,0,0,0
79.53639721,C26,4.563329,0,0,0,0
79.63631731,C26,5.516365,0,0,0,0
79.73623741,C26,3.796696,0,0,0,0
79.83615751,C26,2.490014,0,0,0,0
79.9360776,C26,1.911208,0,0,0,0
80.0359977,C26,3.370883,0,0,0,0
80.1359178,C26,2.767511,0,0,0,0
80.23583789,C26,2.869114,0,0,0,0
80.33575799,C26,2.723218,0,0,0,0
80.43567809,C26,-1.27206,0,0,0,0
80.53559818,C26,2.846411,0,0,0,0
80.63551828,C26,3.358792,0,0,0,0
80.73543838,C26,0.1581118,0,0,0,0
80.83535848,C26,-0.6189517,0,0,0,0
80.93527857,C26,0.01111076,0,0,0,0
81.03519867,C26,-0.03762855,0,0,0,0
81.13511877,C26,1.785332,0,0,0,0
81.23503886,C26,0.9222019,0,0,0,0
81.33495896,C26,2.236195,0,0,0,0
81.43487906,C26,1.841801,0,0,0,0
81.53479915,C26,2.503056,0,0,0,0
81.63471925,C26,1.368693,0,0,0,0
81.73463935,C26,0.3455499,0,0,0,0
81.83455945,C26,0.04442159,0,0,0,0
81.93447954,C26,2.193873,0,0,0,0
82.03439964,C26,1.959898,0,0,0,0
82.13431974,C26,-1.003977,0,0,0,0
82.23423983,C26,0.9502625,0,0,0,0
82.33415993,C26,0.4396985,0,0,0,0
82.43408003,C26,2.038827,0,0,0,0
82.53400012,C26,2.047134,0,0,0,0
82.63392022,C26,1.129259,0,0,0,0
82.73384032,C26,2.644128,0,0,0,0
82.83376042,C26,-0.293716,0,0,0,0
82.93368051,C26,1.578212,0,0,0,0
83.03360061,C26,1.279192,0,0,0,0
83.13352071,C26,0.0712073,0,0,0,0
83.2334408,C26,1.32223,0,0,0,0
83.3333609,C26,0.7002342,0,0,0,0
83.433281,C26,1.088828,0,0,0,0
83.53320109,C26,1.212301,0,0,0,0
83.63312119,C26,3.817555,0,0,0,0
83.73304129,C26,1.514076,0,0,0,0
83.83296139,C26,0.4020558,0,0,0,0
